Deutsch;Englisch;Daari;Ukrainisch;arabisch
Die Studenten haben ihre Aufgaben nicht gemacht.;The students didnt do their tasks.;دانش آموزان تکالیف خود را انجام ندادند.;Учні не виконали завдання.;الطلاب لم يؤدوا واجباتهم
Ich habe eine Frage.;I have a question.;من یک سوال دارم.;У мене питання.;لدي سؤال.
Kennen sie die Antwort?;You know the answer?;آیا پاسخ را می دانید؟;Ви знаєте відповідь?;هل تعرف الجواب؟
Der Test hat sechzig Aufgaben.;The test has sixty exercises.;این آزمون شصت وظیفه دارد.;У тесті шістдесят завдань.;الاختبار يحتوي على ستين مهمة.
Ich weiß die Lösung.;I know the solution.;راه حل را می دانم.;Я знаю рішення.;أنا أعرف الحل.
Meine Tochter hat null Fehler im Test.;My daughter has zero mistakes in the test.;خطای دخترم در آزمون صفر است.;У моєї дочки нуль помилок в тесті.;ابنتي ليس لديها أي أخطاء في الاختبار.
Die Studenten lernen für die Prüfung.;The students learn for the exam.;دانش آموزان برای امتحان درس می خوانند.;Студенти готуються до іспиту.;يدرس الطلاب للامتحان.
Der Arzt macht einen Test.;The doctor makes a test.;دکتر یک آزمایش انجام می دهد.;Лікар робить тест.;يقوم الطبيب بإجراء الاختبار.
Was ist das für ein Buchstabe?;What letter is this.;این چه نوع نامه ای است؟;Що це за лист такий?;أي نوع من الرسالة هذا؟
Mir fehlen die Worte.;I have no words for this.;من از کلمات غافل هستم.;Мені бракує слів.;أنا في حيرة من الكلمات.
Kannst du bitte in ganzen Sätzen sprechen.;Can you speak in whole sentences please.;میشه لطفا با جملات کامل صحبت کنید;Чи можете ви говорити повними реченнями.;هل يمكنك من فضلك التحدث بجمل كاملة.
Was steht in dem Text?;Was is written in this text?;در متن چیست؟;Що в тексті?;ماذا يوجد في النص؟
Kannst du mir bitte deinen Stift geben.;Can you give me your pen please?;میشه لطفا قلمتو به من بدی;Ви можете дати мені свою ручку.;هل يمكن أن تعطيني قلمك من فضلك.
Schreib bitte deinen Namen auf das Papier.;Please write down your name on the paper.;لطفا نام خود را روی کاغذ بنویسید.;Будь ласка, напишіть своє ім'я на папері.;يرجى كتابة اسمك على الورقة.
Öffnet bitte eure Bücher.;Please open your books.;لطفا کتاب های خود را باز کنید;Будь ласка, відкрийте свої книги.;من فضلك افتح كتبك.
Der Lehrer trägt eine Brille.;The teacher wears glasses.;معلم عینک می زند.;Вчитель носить окуляри.;المعلم يرتدي النظارات.
Der Anfang ist immer am schwersten.;The beginning is always the most difficult.;شروع همیشه سخت ترین است.;Початок завжди найважчий.;البداية دائما هي الأصعب.
Ich bin in der Mitte des Tests.;I am in the middle of the test.;من در نیمه راه آزمون هستم.;Я пройшов половину іспиту.;أنا في منتصف الاختبار.
Wir sind am Ende der heutigen Unterrichtsstunde.;We are at the end of todays lesson.;ما در پایان درس امروز هستیم.;Ми підійшли до кінця сьогоднішнього уроку.;لقد وصلنا إلى نهاية درس اليوم.
Erwachsene Menschen können an der Volkshochschule lernen.;Adult people can learn at the evening school.;بزرگسالان می توانند در مرکز آموزش بزرگسالان یاد بگیرند.;Дорослі можуть навчатися в центрі освіти дорослих.;يمكن للبالغين التعلم في مركز تعليم الكبار.
Geben sie mir bitte ein Beispiel mit diesem Wort.;Please give me an example with this word.;لطفا برای من مثالی از این کلمه بزنید.;Наведіть, будь ласка, приклад цього слова.;من فضلك أعطني مثالا على هذه الكلمة.
Der Kurs ist sehr schwer.;The course is very difficult.;دوره بسیار دشوار است.;Курс дуже важкий.;الدورة صعبة للغاية.
Schreiben sie bitte ihre Telefonnummer in die Liste.;Please write your phone number into the list.;لطفا شماره تلفن خود را در لیست بنویسید.;Будь ласка, впишіть свій номер телефону в список.;يرجى كتابة رقم هاتفك في القائمة.
Mein Bleistift ist kaputt.;My pencil is broken.;مدادم شکسته;Мій олівець зламався.;قلمي مكسور.
Ich habe die Aufgabe in mein Heft geschrieben.;I have written the exercise into my exercise book.;تکلیف را در دفترم نوشتم.;Я записала завдання в зошит.;لقد كتبت المهمة في دفتر ملاحظاتي.
Ich schreibe lieber mit Kuli.;I prefer to write with a pen.;ترجیح می دهم با قلم بنویسم.;Я віддаю перевагу писати ручкою.;أفضّل الكتابة بالقلم.
Die Mutter schneidet das Papier mit einer Schere.;The mother cuts the paper with a scissor.;مادر کاغذ را با قیچی می برد.;Мама ріже папір ножицями.;تقوم الأم بقص الورقة بالمقص.
Hast du deine Hausaufgaben gemacht?;Did you do your homework?;آیا تکالیف خود را انجام داده اید؟;Ви зробили домашнє завдання?;هل قمت بأداء واجبك؟
Macht bitte eine Tabelle.;Please create a table.;لطفا جدول درست کنید;Будь ласка, складіть таблицю.;من فضلك قم بعمل طاولة.
Der Lehrer schreibt den Satz an die Tafel.;The teacher writes the sentence on the blackboard.;معلم جمله را روی تخته می نویسد.;Учитель записує речення на дошці.;يكتب المعلم الجملة على السبورة .
Die ganze Klasse lacht über den Lehrer.;The whole class is laughing about the teacher.;تمام کلاس به معلم می خندند.;Весь клас сміється з вчителя.;الفصل كله يضحك على المعلم.
Dein Ausdruck ist nicht gut.;Your expression is not very good.;تعبیرت خوب نیست;Твоє вираз поганий.;تعبيرك ليس جيدًا.
Die Studenten machen sich Notizen.;The students take notes.;دانش آموزان یادداشت برداری می کنند.;Учні конспектують.;يقوم الطلاب بتدوين الملاحظات.
Welcher Fall ist das?;Which case is this?;این کدام مورد است؟;Який це випадок?;أي حالة هذه؟
Am Ende des Satzes kommt ein Punkt.;At the end of the sentence is a dot.;در پایان جمله یک نقطه وجود دارد.;У кінці речення стоїть крапка.;هناك فترة في نهاية الجملة.
Suchen sie das Wort bitte im Wörterbuch.;Look for the word in the dictionary please.;لطفا به دنبال کلمه در فرهنگ لغت بگردید.;Будь ласка, знайдіть слово в словнику.;من فضلك ابحث عن الكلمة في القاموس.
Kennst du die Regel?;You know the rule?;آیا قانون را می دانید؟;Ви знаєте правило?;هل تعرف القاعدة؟
Das ist eine Ausnahme.;That is an exception.;این یک استثناست.;Це виняток.;هذا استثناء.
Ich habe eine Idee.;I have an idea.;من یک ایده دارم.;У мене є ідея.;لدي فكرة.
Für heute ist Schluss.;For today its finished.;برای امروز تمام شد;На сьогодні все закінчилось.;لقد انتهى الأمر لهذا اليوم.
Das Buch hat über zweihundert Seiten.;The book has more than two hundred pages.;این کتاب بیش از دویست صفحه دارد.;Книга має понад двісті сторінок.;ويقع الكتاب في أكثر من مائتي صفحة.
Der Unterricht bei Herrn Müller ist wirklich intensiv.;The teachings with mr Müller are really intense;دروس با آقای مولر واقعا فشرده است.;Уроки з паном Мюллером дійсно інтенсивні.;الدروس مع السيد مولر مكثفة حقًا.
Können sie mir bitte einen kleinen Zettel geben damit ich ihre Telefonnummer aufschreiben kann.;Can you give me a piece of paper so that I can write down my phone number please?;میشه لطفا یه کاغذ کوچیک بهم بدید تا شماره تلفنتون رو یادداشت کنم.;Чи можете ви дати мені маленький аркуш паперу, щоб я міг записати ваш номер телефону.;هل يمكن أن تعطيني قطعة صغيرة من الورق حتى أتمكن من كتابة رقم هاتفك.
Ist das richtig?;Is that correct?;آیا این درست است؟;це правильно?;هل هذا صحيح؟
Das ist falsch.;That is not correct.;این اشتباه است.;Це неправильно.;هذا خطأ.
Das Buch ist sehr interessant.;The book is very interesting.;کتاب بسیار جالبی است.;Книга дуже цікава.;الكتاب مثير جدا للاهتمام.
Sein Unterricht ist wirklich langweilig.;His teachings are really boring.;کلاس های او واقعا خسته کننده است.;Його заняття дійсно нудні.;فصوله مملة حقا.
Der Test war sehr einfach.;The test was very easy.;تست خیلی ساده بود.;Тест був дуже простий.;كان الاختبار بسيطًا جدًا.
Die Aufgabe ist zu schwer für die Schüler.;The exercise ist too difficult for the students.;کار برای دانش آموزان بسیار دشوار است.;Завдання надто складне для учнів.;المهمة صعبة جدًا على الطلاب.
Wir müssen jetzt endlich intensiv lernen.;We have to learn intensively now.;بالاخره الان باید فشرده مطالعه کنیم.;Нарешті ми маємо зараз інтенсивно вчитися.;علينا أخيرا أن ندرس بشكل مكثف الآن.
telefonieren;to phone;تماس تلفنی برقرار کن;зробити телефонний дзвінок;إجراء مكالمة هاتفية
simsen;to write sms;متن;текст;نص
klicken;to click;کلیک کنید;натисніть;انقر
fernsehen;to watch tv;تلویزیون;телевізор;تلفزيون
anrufen;to call;تماس بگیرید;виклик;يتصل
erreichen;to reach;برای رسیدن به;досягти;للوصول
weltweit;worldwide;در سراسر جهان;у всьому світі;في جميع أنحاء العالم
vereinbaren;to agree;موافق;згоден;يوافق
drucken;to print;را فشار دهید;преса;يضعط
nennen;to name;نام بردن;називати;على سبيل المثال
überweisen;to transfer money;انتقال;передача;تحويل
installieren;to install;نصب کنید;встановити;ثَبَّتَ
die Postleitzahl;the postal code;کد پستی;поштовий індекс;الرمز البريدي
die Karte;the card;نقشه;карту;الخريطة
das Fax;the fax;فکس;факс;الفاكس
der Brief;the letter;نامه;лист;الرسالة
die Briefmarke;the stamp;تمبر;штамп;الختم
der Absender/ die Absenderin;sender;فرستنده;відправник;المرسل
der Empfänger/ die Empfängerin;receiver;گیرنده;одержувач;المتلقي
das Telefon;the phone;تلفن;телефон;الهاتف
das Handy;the cellphone;تلفن;телефон;الهاتف
die SMS;the sms;اس ام اس;SMS;الرسائل القصيرة
das Telefonbuch;the phonebook;دفترچه تلفن;телефонна книга;دليل الهاتف
die Telefonnummer;the phonenumber;شماره تلفن;номер телефону;رقم الهاتف
das Internet;the internet;اینترنت;Інтернет;الإنترنت
die E-Mail;the email;ایمیل;електронний лист;البريد الإلكتروني
der Computer;the computer;کامپیوتر;комп'ютер;الكمبيوتر
der Bildschirm;the screen;صفحه نمایش;на екрані;الشاشة
die Maus;the mouse;موش;миша;الفأر
die Tastatur;the keyboard;صفحه کلید;клавіатура;لوحة المفاتيح
der Drucker;the printer;چاپگر;принтера;الطابعة
die Zeitung;the journal;روزنامه;газета;الصحيفة
die Zeitschrift;the newspaper;مجله;журнал;المجلة
die Anzeige;the ad;آگهی;оголошення;الإعلان
die CD;the cd;سی دی;компакт-диск;القرص المضغوط
der CD-Player;the cd-player;سی دی پلیر;програвач компакт-дисків;مشغل الأقراص المضغوطة
das Radio;the radio;رادیو;радіо;الراديو
der Fernseher;the tv;تلویزیون;телевізор;التلفزيون
die Kiste;the case;جعبه;коробка;الصندوق
die Schachtel;the box;جعبه;коробка;الصندوق
das Internet;the internet;اینترنت;Інтернет;الإنترنت
der Internetanschluß;the internet connection;اتصال به اینترنت;підключення до Інтернету;الاتصال بالإنترنت
die Vorwahl;the area code;کد منطقه;код міста;رمز المنطقة
die Überweisung;the transfer of money;انتقال;передача;النقل
der Anrufbeantworter;the answering machine;منشی تلفنی;автовідповідач;جهاز الرد الآلي
der Gruß;the greeting;سلام;привітання;التحية
der Anruf;the call;تماس;дзвінок;المكالمة
das Amt;the office;دفتر;Офіс;المكتب
der Monitor;the monitor;مانیتور;монітора;الشاشة
Ich telefoniere morgen mit meiner Mutter.;Tomorrow I talk to my mother on the phone.;فردا به مادرم زنگ می زنم.;Завтра подзвоню мамі.;سأتصل بأمي غدا.
Kannst du mir die Kontonummer simsen.;Can you send me the account number by sms.;میشه شماره حساب رو برام پیامک کنید;Чи можете ви написати мені номер рахунку.;هل يمكن أن ترسل لي رقم الحساب.
Du musst mit der Maus klicken.;You have to click with the mouse.;شما باید با ماوس کلیک کنید.;Ви повинні клацати мишкою.;عليك أن تنقر بالماوس.
Die Kinder wollen immer nur fernsehen.;The children always want to watch television.;بچه ها همیشه فقط می خواهند تلویزیون ببینند.;Діти завжди хочуть дивитися телевізор.;الأطفال دائما يريدون فقط مشاهدة التلفزيون.
Kannst du mich morgen anrufen?;Can you call me tomorrow?;میشه فردا با من تماس بگیری؟;Ви можете зателефонувати мені завтра?;هل يمكنك الاتصال بي غدا؟
Ich habe sie leider nicht erreicht.;Unfortunately I haven't reached you.;متاسفانه بهش نرسیدم;На жаль, я до неї не дійшов.;وللأسف لم أتوصل بها.
Mit diesem Handy kann ich weltweit sehr preiswert telefonieren.;With this cellphone I can call worldwide very cheaply.;با این تلفن همراه می توانم تماس های بسیار ارزانی در سراسر جهان برقرار کنم.;За допомогою цього мобільного телефону я можу дзвонити по всьому світу дуже дешево.;باستخدام هذا الهاتف الخليوي، يمكنني إجراء مكالمات حول العالم بسعر رخيص جدًا.
Wir müssen einen Preis für das Auto vereinbaren.;We have to agree on a price for the car.;باید بر سر قیمت ماشین به توافق برسیم.;Треба домовитися про ціну автомобіля.;نحن بحاجة إلى الاتفاق على سعر السيارة.
Ich drucke ihnen den Text aus.;I print the text for you.;من متن را برای شما چاپ می کنم.;Роздрукую вам текст.;أنا أطبع النص لك.
Nennen sie mir bitte ihren Namen.;Tell me you name please.;لطفا نام خود را به من بگویید.;Будь ласка, скажіть мені своє ім'я.;من فضلك قل لي اسمك.
Wir müssen jeden Monat die Miete an unseren Vermieter überweisen.;Each month we have to transfer our rent to our landlord.;ما باید هر ماه اجاره بها را به صاحب خانه بدهیم.;Ми повинні платити орендну плату нашому орендодавцю щомісяця.;علينا أن ندفع الإيجار لمالكنا كل شهر.
Kann er Windows auf meinem Computer installieren?;Can he install windows on my computer?;آیا می تواند ویندوز را روی کامپیوتر من نصب کند؟;Чи можна встановити Windows на мій комп’ютер?;هل يمكن تثبيت Windows على جهاز الكمبيوتر الخاص بي؟
Nennen sie mir bitte ihre Postleitzahl.;Tell me your postal code please.;لطفا کد پستی خود را به من بگویید.;Будь ласка, скажіть мені свій поштовий індекс.;من فضلك قل لي الرمز البريدي الخاص بك.
Ich habe meiner Mutter eine schöne Karte geschickt.;I have sent a nice card to my mother.;برای مادرم یک کارت زیبا فرستادم.;Я надіслав мамі чудову листівку.;لقد أرسلت لأمي بطاقة جميلة.
Wir können der Bank ein Fax schicken.;We can send a fax to the bank.;می توانیم برای بانک فکس بفرستیم.;Ми можемо надіслати банку факс.;يمكننا إرسال فاكس للبنك.
Wir müssen dem Amt einen Brief schreiben.;We have to write a letter to the office.;باید به اداره نامه بنویسیم.;Ми повинні написати листа в офіс.;علينا أن نكتب رسالة إلى المكتب.
Hast du eine Briefmarke für den  Brief?;Do you have a stamp for the letter?;آیا برای نامه مهر دارید؟;У вас є марка для листа?;هل لديك ختم للرسالة؟
Du musst den Absender auf den Brief schreiben.;You have to write the sender on the letter.;شما باید فرستنده را روی نامه بنویسید.;На листі потрібно написати відправника.;عليك أن تكتب المرسل على الرسالة.
Jetzt habe ich den Empfänger vergessen.;I have just forgotten the receiver.;حالا گیرنده را فراموش کردم.;Тепер я забув одержувача.;الآن نسيت المتلقي.
Kannst du mal bitte an das Telefon gehen?;Can you please go on the phone.;میشه لطفا تلفن رو جواب بدید;Ви можете відповісти на телефонний дзвінок?;هل يمكنك الرد على الهاتف من فضلك؟
Ihr habt sehr viele Kontakte auf eurem Handy.;You have many contacts on your cellphone.;شما مخاطبین زیادی روی تلفن همراه خود دارید.;У вас багато контактів на мобільному телефоні.;لديك الكثير من جهات الاتصال على هاتفك الخلوي.
Ich schicke dir schnell eine SMS.;I write quickly a SMS to you.;من یک پیام کوتاه سریع برای شما ارسال می کنم.;Я надішлю тобі швидке текстове повідомлення.;سأرسل لك رسالة نصية سريعة.
Du findest seine Nummer im Telefonbuch.;You find his number in the phonebook.;می توانید شماره او را در دفترچه تلفن پیدا کنید.;Його номер можна знайти в телефонній книзі.;يمكنك العثور على رقمه في دليل الهاتف.
Weißt du die Telefonnummer vom Amt?;You know the phone number of the office?;آیا شماره تلفن دفتر را می دانید؟;Ви знаєте номер телефону офісу?;هل تعرف رقم هاتف المكتب؟
Ich gehe ins Internet.;I go on the internet.;میرم تو اینترنت;Заходжу в Інтернет.;أذهب على شبكة الإنترنت.
Ich habe keine Antwort auf meine E-Mail bekommen.;I have not received an answer to my E-Mail.;جوابی به ایمیلم نگرفتم;Я не отримав відповіді на свій електронний лист.;لم أتلق ردا على بريدي الإلكتروني.
Der Computer ist leider kaputt.;Unfortunately the computer is broken.;متاسفانه کامپیوتر خرابه;На жаль, комп'ютер зламався.;لسوء الحظ تم كسر الكمبيوتر.
Der Bildschirm funktioniert wieder.;The screen works again.;صفحه نمایش دوباره کار می کند.;Екран знову працює.;الشاشة تعمل مرة أخرى.
Ich habe keine Maus für meinen Computer.;I have no mouse for my computer.;من برای کامپیوترم ماوس ندارم.;У мене немає мишки для комп'ютера.;ليس لدي ماوس لجهاز الكمبيوتر الخاص بي.
Meine Mutter schreibt sehr mit zehn Fingern auf der Tastatur.;My mother writes with ten fingers on the keyboard.;مادرم با ده انگشت روی کیبورد زیاد می نویسد.;Моя мама багато пише десятьма пальцями на клавіатурі.;والدتي تكتب كثيرًا بعشرة أصابع على لوحة المفاتيح.
Geht der Drucker?;Does the printer work?;آیا پرینتر کار می کند؟;Чи працює принтер?;هل تعمل الطابعة؟
Mein Freund kauft sich eine Zeitung am Kiosk.;My friend buys a journal at the kiosk.;دوستم از کیوسک روزنامه می خرد.;Мій друг купує газету в кіоску.;صديقي يشتري صحيفة في الكشك.
Ich lese lieber eine Zeitschrift.;I prefer to read a newspaper.;من ترجیح می دهم مجله بخوانم.;Я віддаю перевагу читанню журналу.;أفضّل قراءة مجلة.
Da steht eine Anzeige für eine Wohnung in der Zeitung.;There is an advertisment for an apartement in the journal.;یک آگهی آپارتمان در روزنامه وجود دارد.;В газеті є оголошення про квартиру.;هناك إعلان عن شقة في الصحيفة.
Wir benutzen keine CDs mehr.;We dont use CDs anymore.;ما دیگر از سی دی استفاده نمی کنیم.;Ми більше не використовуємо компакт-диски.;لم نعد نستخدم الأقراص المضغوطة بعد الآن.
Der CD-Player ist schon alt.;The CD-Player ist already old.;سی دی پلیر قدیمی است.;CD плеєр вже старий.;مشغل الأقراص المضغوطة قديم بالفعل.
Ich höre Radio beim putzen.;I listen to the radio when I clean.;هنگام تمیز کردن به رادیو گوش می دهم.;Під час прибирання слухаю радіо.;أستمع إلى الراديو أثناء التنظيف.
Wir brauchen einen neuen Fernseher.;We need a new television.;به یک تلویزیون جدید نیاز داریم.;Нам потрібен новий телевізор.;نحن بحاجة إلى تلفزيون جديد.
Der Vater öffnet die Kiste.;The father opens the case.;پدر جعبه را باز می کند.;Батько відкриває скриньку.;يفتح الأب الصندوق.
In der Schachtel sind nur alte CDs;There are only old CDs in the box.;فقط سی دی های قدیمی داخل جعبه هست;В коробці тільки старі диски;لا يوجد سوى الأقراص المضغوطة القديمة في الصندوق
Ohne Internet ist es langweilig.;Its boring without the internet.;بدون اینترنت خسته کننده است.;Без інтернету нудно.;إنه ممل بدون الإنترنت.
Wir haben noch keinen Internetanschluß in unserer neuen Wohnung.;We dont yet have internet connection in our new apartment.;ما هنوز در آپارتمان جدیدمان اتصال اینترنتی نداریم.;У нашій новій квартирі ще немає підключення до Інтернету.;ليس لدينا اتصال بالإنترنت في شقتنا الجديدة حتى الآن.
Du musst die Vorwahl wählen.;You have to dial the area code.;شما باید کد منطقه را شماره گیری کنید.;Ви повинні набрати код міста.;يجب عليك طلب رمز المنطقة.
Hast du gestern die Überweisung gemacht?;Did you make the money transfer yesterday?;آیا دیروز انتقال را انجام دادید؟;Ви зробили передачу вчора?;هل قمت بالتحويل أمس؟
Ich habe ihm auf den Anrufbeantworter gesprochen.;I spoke on his answering machine.;پیغام گیرش را رها کردم.;Я залишив його автовідповідач.;لقد تركت جهاز الرد الآلي الخاص به.
Sag ihm einen schönen Gruß von mir.;Give him greetings from me.;از طرف من به او سلام برسان.;Передай йому від мене привіт.;سلم عليه مني.
Hast du seinen Anruf bekommen?;Did you receive his phone call?;تماسش را گرفتی؟;Ви отримали його дзвінок?;هل تلقيت مكالمته؟
Ich muss schon wieder zum Amt.;I have to go to the office again.;باید برگردم دفتر.;Мені потрібно повернутися в офіс.;يجب أن أعود إلى المكتب.
Was steht dort auf dem Monitor?;What is on the monitor?;چه چیزی روی مانیتور وجود دارد؟;Що там на моніторі?;ما هو هناك على الشاشة؟
der Sport;the sport;ورزش;спорт;الرياضة
Basketball;basketball;بسکتبال;баскетбол;كرة السلة
Fußball;soccer;فوتبال;футбол;كرة القدم
Jogging;jogging;دویدن;біг підтюпцем;الهرولة
Handball;handball;هندبال;Гандбол;كرة اليد
Tennis;Tennis;تنیس;теніс;تنس
Tischtennis;tabletennis;تنیس روی میز;Настільний теніс;كرة الطاولة
Volleyball;volleyball;والیبال;волейбол;الكرة الطائرة
der Ball;the ball;توپ;м'яч;الكرة
der Spaziergang;to go hiking;پیاده روی;прогулянка;المشي
das Schwimmbad;the swimming pool;استخر شنا;басейн;حمام السباحة
die Sporthalle;the gym;سالن ورزشی;спортивний зал;القاعة الرياضية
der Sportplatz;the sports ground;زمین ورزشی;спортивний майданчик;المجال الرياضي
das Kino;the cinema;سینما;кінотеатр;السينما
das Museum;the museum;موزه;музей;المتحف
das Theater;the theater;تئاتر;театр;المسرح
der Alltag;the everyday;روزمره;повсякденний;كل يوم
der Rhythmus;the rhythm;ریتم;ритм;الإيقاع
der Spielplatz;the playground;زمین بازی;дитячий майданчик;الملعب
der Verein;the club;اتحادیه;Союзу;الاتحاد
die Kamera;the camera;دوربین;камера;الكاميرا
die Musik;the music;موسیقی;музика;الموسيقى
die Aktivität;the activity;فعالیت;діяльність;النشاط
die Bibliothek;the library;کتابخانه;бібліотека;المكتبة
der Biergarten;the beer garden;باغ آبجو;пивний сад;حديقة البيرة
der Eintritt;the entry;ورودی;запис;الدخول
das Konzert;the concert;کنسرت;концерт;الحفلة الموسيقية
der Krimi;the thriller;تریلر جنایی;кримінальний трилер;فيلم الجريمة والإثارة
der Bundestag;the german parliament;بوندستاگ;бундестагу;البوندستاغ
die Disco;the disco;دیسکو;дискотека;الديسكو
das Picknick;the picnic;پیک نیک;пікнік;النزهة
die Kultur;the culture;فرهنگ;культура;الثقافة
die Möglichkeit;the possibility;امکان;можливість;الاحتمال
das Programm;the program;برنامه;програма;البرنامج
die Sehenswürdigkeit;the sight;دید;видовище;البصر
die Erfahrung;the experience;تجربه;досвід;التجربة
das Ziel;the goal;هدف;мета;الهدف
der Club;the club;باشگاه;клуб;النادي
das Fest;the party;حزب;партія;الحفلة
die Bar;the bar;نوار;бар;الشريط
das Spiel;the game;بازی;гра;اللعبة
der Spaß;the fun;سرگرمی;веселощі;المتعة
schwimmen;to swim;برای شنا کردن;плавати;للسباحة
tanzen;to dance;رقصیدن;танець;رقص
wandern;to hike;پیاده روی;похід;رفع
malen;to paint;رنگ کردن;фарба;طلاء
werfen;to throw;پرتاب;кинути;يرمي
fangen;to catch;گرفتن;зловити;يمسك
sammeln;to collect;جمع آوری کنید;збирати;يجمع
glauben;to believe;باور کنید;вірити;يعتقد
feiern;to celebrate;جشن گرفتن;святкувати;احتفل
grillen;to make a barbecue;کباب;гриль;شواء
trainieren;to practise;قطار;поїзд;يدرب
träumen;to dream;رویا;сон;حلم
zeichnen;to draw;قرعه کشی;малювати;يرسم
besichtigen;to visit;مشاهده کنید;переглянути;منظر
erleben;to experience;تجربه;досвід;خبرة
eröffnen;to open;باز کردن;ВІДЧИНЕНО;يفتح
singen;to sing;بخوان;співати;يغني
historisch;historical;تاریخی;історичний;تاريخي
spannend;exciting;هیجان انگیز;захоплюючий;مثير
noch einmal;one more time;یک بار دیگر;ще раз;مرة أخرى
Ich gehe jeden Tag schwimmen.;I go swimming every day.;من هر روز به شنا می روم.;Я ходжу плавати кожен день.;أذهب للسباحة كل يوم.
Wir tanzen die ganze Nacht.;We dance all night.;ما تمام شب می رقصیم.;Ми всю ніч танцюємо.;نحن نرقص طوال الليل.
Wir sind zwei Stunden gewandert.;We were hiking for two hours.;دو ساعت پیاده روی کردیم.;Йшли дві години.;لقد تنزهنا لمدة ساعتين.
Es macht mir großen Spaß zu malen.;It great fun for me to paint.;من واقعا از نقاشی کردن لذت می برم.;Мені дуже подобається малювати.;أنا أستمتع حقا بالرسم.
Kannst du den Ball bitte zu mir werfen?;You you throw the ball to me please?;میشه لطفا توپ رو به من پرت کن;Ви можете кинути мені м'яч, будь ласка?;هل يمكنك من فضلك رمي الكرة لي؟
Das Kinder hat den Ball nicht gefangen.;The child did not catch the ball.;بچه توپ را نگرفت.;Дитина не зловила м'яч.;الطفل لم يمسك الكرة.
Mein Vater sammelt Briefmarken.;My father collects stamps.;پدرم تمبر جمع می کند.;Мій батько колекціонує марки.;والدي يجمع الطوابع.
Ich glaube das nicht.;I dont believe that.;من این را باور نمی کنم.;Я в це не вірю.;لا أعتقد ذلك.
Wir gehen jedes Wochenende feiern.;We make party on every weekend.;آخر هفته به مهمانی می رویم.;Ми ходимо на вечірки кожні вихідні.;نذهب للاحتفال في نهاية كل أسبوع.
Ich habe abends mit meiner Familie gegrillt.;In the evening I made a barbecue with my family.;عصر با خانواده ام کباب خوردم.;Ввечері я влаштував барбекю з сім'єю.;لقد أقمت حفلة شواء مع عائلتي في المساء.
Wir müssen zwei Mal am Tag trainieren.;We have to practise twice a day.;باید روزی دو بار تمرین کنیم.;Ми повинні тренуватися двічі на день.;علينا أن نتدرب مرتين في اليوم.
Wenn ich schlafe träume ich viel.;When I sleep I dream a lot.;وقتی میخوابم زیاد خواب میبینم;Коли я сплю, мені багато сниться.;عندما أنام أحلم كثيرا.
Kannst du schon ein Haus zeichnen?;Can you draw a house yet?;آیا می توانید قبلاً یک خانه بکشید؟;Ви вже можете намалювати будинок?;هل يمكنك بالفعل رسم منزل؟
Wir besichtigen die Sehenswürdigkeiten der Stadt.;We look at the sights of the city.;از دیدنی های شهر دیدن می کنیم.;Оглядаємо визначні місця міста.;نزور المعالم السياحية في المدينة.
Wir haben heute sehr viel erlebt.;We experienced a lot today.;ما امروز خیلی تجربه کردیم.;Сьогодні ми багато пережили.;لقد شهدنا الكثير اليوم.
In Berlin eröffnet ein neues Museum.;A new museum is opening in Berlin.;یک موزه جدید در برلین افتتاح می شود.;У Берліні відкривається новий музей.;سيتم افتتاح متحف جديد في برلين.
Ich singe gerne beim wandern.;I like to sing while hiking.;من دوست دارم هنگام پیاده روی آواز بخوانم.;Я люблю співати в поході.;أحب الغناء أثناء المشي لمسافات طويلة.
Der Arzt sagt du sollst mehr Sport machen.;The doctor says you should do more sports.;دکتر میگه باید بیشتر ورزش کنی;Лікар каже, що потрібно більше займатися спортом.;يقول الطبيب أنه يجب عليك ممارسة المزيد من التمارين الرياضية.
Die Kinder spielen Basketball.;The children play basketball.;بچه ها بسکتبال بازی می کنند.;Діти грають у баскетбол.;الأطفال يلعبون كرة السلة.
Es kommt wieder Fußball im Fernsehen.;There is soccer on the television again.;فوتبال دوباره روی تلویزیون است.;Футбол знову на телебаченні.;كرة القدم على شاشة التلفزيون مرة أخرى.
Ich mache viel Jogging.;I do a lot of jogging.;من زیاد دویدن می کنم.;Я багато бігаю.;أقوم بالكثير من الركض.
Er spielt sehr gut Handball.;He plays Handball very good.;او خیلی خوب هندبال بازی می کند.;Він дуже добре грає в гандбол.;يلعب كرة اليد بشكل جيد للغاية.
Ich kann leider kein Tennis.;Unfortunately I can not play tennis.;متاسفانه من نمی توانم تنیس بازی کنم.;На жаль, я не можу грати в теніс.;لسوء الحظ لا أستطيع لعب التنس.
Tischtennis macht mir großen Spaß.;Tabletennis is great fun for me.;من واقعا از تنیس روی میز لذت می برم.;Мені дуже подобається настільний теніс.;أنا أستمتع حقًا بتنس الطاولة.
Beim Volleyball muss man groß sein.;You have to be very tall at volleyball.;در والیبال باید قد بلند باشی.;У волейболі треба бути високим.;في الكرة الطائرة عليك أن تكون طويل القامة.
Wer hat den Ball gefangen?;Who has caught the ball?;چه کسی توپ را گرفت؟;Хто зловив м'яч?;من أمسك الكرة؟
Komm wir machen einen Spaziergang.;Lets go for a walk.;بیا قدم بزنیم;Давай погуляємо.;هيا، دعونا نتمشى.
